userId	geneSymbol	geneName	entrezgene	gLink
830424	DREB2A	DRE-binding protein 2A	830424	https://www.ncbi.nlm.nih.gov/gene/?term=830424
839783	AT1G29080	NA	839783	https://www.ncbi.nlm.nih.gov/gene/?term=839783
834780	AT5G47330	NA	834780	https://www.ncbi.nlm.nih.gov/gene/?term=834780
838288	GSTU24	glutathione S-transferase TAU 24	838288	https://www.ncbi.nlm.nih.gov/gene/?term=838288
843100	AT1G67750	NA	843100	https://www.ncbi.nlm.nih.gov/gene/?term=843100
820893	JAL33	NA	820893	https://www.ncbi.nlm.nih.gov/gene/?term=820893
828273	MSRB9	methionine sulfoxide reductase B9	828273	https://www.ncbi.nlm.nih.gov/gene/?term=828273
821964	SAHH2	S-adenosyl-l-homocysteine (SAH) hydrolase 2	821964	https://www.ncbi.nlm.nih.gov/gene/?term=821964
818622	FER4	ferritin 4	818622	https://www.ncbi.nlm.nih.gov/gene/?term=818622
817390	GLYI8	NA	817390	https://www.ncbi.nlm.nih.gov/gene/?term=817390
836751	FNR1	ferredoxin-NADP[+]-oxidoreductase 1	836751	https://www.ncbi.nlm.nih.gov/gene/?term=836751
826932	AT4G13180	NA	826932	https://www.ncbi.nlm.nih.gov/gene/?term=826932
839341	LHY	NA	839341	https://www.ncbi.nlm.nih.gov/gene/?term=839341
819053	BGLU28	beta glucosidase 28	819053	https://www.ncbi.nlm.nih.gov/gene/?term=819053
820771	MT3	metallothionein 3	820771	https://www.ncbi.nlm.nih.gov/gene/?term=820771
838259	ACR11	uridylyltransferase-like protein	838259	https://www.ncbi.nlm.nih.gov/gene/?term=838259
831207	GUN5	magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)	831207	https://www.ncbi.nlm.nih.gov/gene/?term=831207
826626	LHCB5	light harvesting complex of photosystem II 5	826626	https://www.ncbi.nlm.nih.gov/gene/?term=826626
821806	AOX1A	alternative oxidase 1A	821806	https://www.ncbi.nlm.nih.gov/gene/?term=821806
815086	GRP3S	glycine-rich protein 3 short	815086	https://www.ncbi.nlm.nih.gov/gene/?term=815086
817601	RPT2	NA	817601	https://www.ncbi.nlm.nih.gov/gene/?term=817601
838058	AT1G14930	NA	838058	https://www.ncbi.nlm.nih.gov/gene/?term=838058
837146	ADS4	NA	837146	https://www.ncbi.nlm.nih.gov/gene/?term=837146
837777	ATBETAFRUCT4	NA	837777	https://www.ncbi.nlm.nih.gov/gene/?term=837777
817283	AT2G27385	NA	817283	https://www.ncbi.nlm.nih.gov/gene/?term=817283
830332	KCS19	3-ketoacyl-CoA synthase 19	830332	https://www.ncbi.nlm.nih.gov/gene/?term=830332
827931	GSTF2	glutathione S-transferase PHI 2	827931	https://www.ncbi.nlm.nih.gov/gene/?term=827931
822259	TIP2	tonoplast intrinsic protein 2	822259	https://www.ncbi.nlm.nih.gov/gene/?term=822259
844130	AGL67	AGAMOUS-like 67	844130	https://www.ncbi.nlm.nih.gov/gene/?term=844130
836372	SRO5	similar to RCD one 5	836372	https://www.ncbi.nlm.nih.gov/gene/?term=836372
827162	AT4G15030	folate-sensitive fragile site protein	827162	https://www.ncbi.nlm.nih.gov/gene/?term=827162
842254	BPEp	transcription factor BIG PETAL P (BPE)	842254	https://www.ncbi.nlm.nih.gov/gene/?term=842254
826619	AT4G10270	NA	826619	https://www.ncbi.nlm.nih.gov/gene/?term=826619
829788	BGAL3	beta-galactosidase 3	829788	https://www.ncbi.nlm.nih.gov/gene/?term=829788
828228	AT4G01870	tolB protein-like protein	828228	https://www.ncbi.nlm.nih.gov/gene/?term=828228
830325	LHCB4.1	NA	830325	https://www.ncbi.nlm.nih.gov/gene/?term=830325
843653	TIP3;1	NA	843653	https://www.ncbi.nlm.nih.gov/gene/?term=843653
836789	PSBO1	PS II oxygen-evolving complex 1	836789	https://www.ncbi.nlm.nih.gov/gene/?term=836789
817273	NTL8	NTM1-like 8	817273	https://www.ncbi.nlm.nih.gov/gene/?term=817273
824606	AT3G54400	NA	824606	https://www.ncbi.nlm.nih.gov/gene/?term=824606
843575	AT1G72430	NA	843575	https://www.ncbi.nlm.nih.gov/gene/?term=843575
820554	AGP12	arabinogalactan protein 12	820554	https://www.ncbi.nlm.nih.gov/gene/?term=820554
815389	AT2G07715	NA	815389	https://www.ncbi.nlm.nih.gov/gene/?term=815389
838174	Hsp70b	heat shock protein 70B	838174	https://www.ncbi.nlm.nih.gov/gene/?term=838174
6241266	AT2G01021	NA	6241266	https://www.ncbi.nlm.nih.gov/gene/?term=6241266
823555	NIT2	nitrilase 2	823555	https://www.ncbi.nlm.nih.gov/gene/?term=823555
831862	AT5G02180	NA	831862	https://www.ncbi.nlm.nih.gov/gene/?term=831862
815343	AT2G07671	ATP synthase subunit C family protein	815343	https://www.ncbi.nlm.nih.gov/gene/?term=815343
829551	CCoAOMT1	NA	829551	https://www.ncbi.nlm.nih.gov/gene/?term=829551
823901	LHCA4	light-harvesting chlorophyll-protein complex I subunit A4	823901	https://www.ncbi.nlm.nih.gov/gene/?term=823901
834805	AT5G47550	NA	834805	https://www.ncbi.nlm.nih.gov/gene/?term=834805
836833	AT5G66985	NA	836833	https://www.ncbi.nlm.nih.gov/gene/?term=836833
843408	GH9B1	glycosyl hydrolase 9B1	843408	https://www.ncbi.nlm.nih.gov/gene/?term=843408
818395	CAX1	cation exchanger 1	818395	https://www.ncbi.nlm.nih.gov/gene/?term=818395
841964	AT1G55210	NA	841964	https://www.ncbi.nlm.nih.gov/gene/?term=841964
814743	PDF2.1	NA	814743	https://www.ncbi.nlm.nih.gov/gene/?term=814743
828183	PSAD-1	photosystem I subunit D-1	828183	https://www.ncbi.nlm.nih.gov/gene/?term=828183
842198	HEMA1	NA	842198	https://www.ncbi.nlm.nih.gov/gene/?term=842198
830292	GLU1	glutamate synthase 1	830292	https://www.ncbi.nlm.nih.gov/gene/?term=830292
843129	HPR	hydroxypyruvate reductase	843129	https://www.ncbi.nlm.nih.gov/gene/?term=843129
824802	AT3G56350	Iron/manganese superoxide dismutase family protein	824802	https://www.ncbi.nlm.nih.gov/gene/?term=824802
831734	ATCSLA09	NA	831734	https://www.ncbi.nlm.nih.gov/gene/?term=831734
815400	AT2G07727	cytochrome b	815400	https://www.ncbi.nlm.nih.gov/gene/?term=815400
5008305	AT5G52882	NA	5008305	https://www.ncbi.nlm.nih.gov/gene/?term=5008305
836538	AT5G64170	NA	836538	https://www.ncbi.nlm.nih.gov/gene/?term=836538
842121	AT1G56660	MAEBL domain protein	842121	https://www.ncbi.nlm.nih.gov/gene/?term=842121
829048	AT4G29270	NA	829048	https://www.ncbi.nlm.nih.gov/gene/?term=829048
827311	AT4G16190	NA	827311	https://www.ncbi.nlm.nih.gov/gene/?term=827311
817487	HAI3	highly ABA-induced PP2C protein 3	817487	https://www.ncbi.nlm.nih.gov/gene/?term=817487
843771	HSP101	heat shock protein 101	843771	https://www.ncbi.nlm.nih.gov/gene/?term=843771
832116	AT5G19940	NA	832116	https://www.ncbi.nlm.nih.gov/gene/?term=832116
840098	PRK	phosphoribulokinase	840098	https://www.ncbi.nlm.nih.gov/gene/?term=840098
828823	SESA2	seed storage albumin 2	828823	https://www.ncbi.nlm.nih.gov/gene/?term=828823
828553	CER2	NA	828553	https://www.ncbi.nlm.nih.gov/gene/?term=828553
832275	AT5G22140	NA	832275	https://www.ncbi.nlm.nih.gov/gene/?term=832275
837848	GAPA-2	glyceraldehyde 3-phosphate dehydrogenase A subunit 2	837848	https://www.ncbi.nlm.nih.gov/gene/?term=837848
827255	MO1	monooxygenase 1	827255	https://www.ncbi.nlm.nih.gov/gene/?term=827255
834449	AT5G44260	NA	834449	https://www.ncbi.nlm.nih.gov/gene/?term=834449
829160	AT4G30370	NA	829160	https://www.ncbi.nlm.nih.gov/gene/?term=829160
830032	PRP4	proline-rich protein 4	830032	https://www.ncbi.nlm.nih.gov/gene/?term=830032
844002	OPR2	12-oxophytodienoate reductase 2	844002	https://www.ncbi.nlm.nih.gov/gene/?term=844002
841216	AT1G47980	NA	841216	https://www.ncbi.nlm.nih.gov/gene/?term=841216
821893	AT3G23170	NA	821893	https://www.ncbi.nlm.nih.gov/gene/?term=821893
837704	CYP77B1	cytochrome P450, family 77, subfamily B, polypeptide 1	837704	https://www.ncbi.nlm.nih.gov/gene/?term=837704
818833	AT2G42320	nucleolar protein gar2-like protein	818833	https://www.ncbi.nlm.nih.gov/gene/?term=818833
831452	AT5G15950	NA	831452	https://www.ncbi.nlm.nih.gov/gene/?term=831452
837698	XTH8	xyloglucan endotransglucosylase/hydrolase 8	837698	https://www.ncbi.nlm.nih.gov/gene/?term=837698
834090	CLC-A	chloride channel A	834090	https://www.ncbi.nlm.nih.gov/gene/?term=834090
830803	NA	EXORDIUM like 4	830803	https://www.ncbi.nlm.nih.gov/gene/?term=830803
841171	CYP96A8	cytochrome P450, family 96, subfamily A, polypeptide 8	841171	https://www.ncbi.nlm.nih.gov/gene/?term=841171
814939	AT2G04050	NA	814939	https://www.ncbi.nlm.nih.gov/gene/?term=814939
819205	CYP86A8	cytochrome P450, family 86, subfamily A, polypeptide 8	819205	https://www.ncbi.nlm.nih.gov/gene/?term=819205
815406	AT2G07734	NA	815406	https://www.ncbi.nlm.nih.gov/gene/?term=815406
837053	AT1G05510	naphthalene 1,2-dioxygenase subunit alpha (DUF1264)	837053	https://www.ncbi.nlm.nih.gov/gene/?term=837053
836455	AT5G63350	NA	836455	https://www.ncbi.nlm.nih.gov/gene/?term=836455
821629	JMJD5	NA	821629	https://www.ncbi.nlm.nih.gov/gene/?term=821629
839395	KCS1	3-ketoacyl-CoA synthase 1	839395	https://www.ncbi.nlm.nih.gov/gene/?term=839395
831798	GSTL3	NA	831798	https://www.ncbi.nlm.nih.gov/gene/?term=831798
824246	PSBO2	photosystem II subunit O-2	824246	https://www.ncbi.nlm.nih.gov/gene/?term=824246
843289	AGL94	AGAMOUS-like 94	843289	https://www.ncbi.nlm.nih.gov/gene/?term=843289
833613	AT5G36160	NA	833613	https://www.ncbi.nlm.nih.gov/gene/?term=833613
821097	SEOR1	sieve element occlusion amino-terminus protein	821097	https://www.ncbi.nlm.nih.gov/gene/?term=821097
842446	LHCA3	PSI type III chlorophyll a/b-binding protein	842446	https://www.ncbi.nlm.nih.gov/gene/?term=842446
834362	AT5G43420	NA	834362	https://www.ncbi.nlm.nih.gov/gene/?term=834362
838060	AT1G14950	NA	838060	https://www.ncbi.nlm.nih.gov/gene/?term=838060
840201	AT1G33055	NA	840201	https://www.ncbi.nlm.nih.gov/gene/?term=840201
818255	GAMMA-TIP	gamma tonoplast intrinsic protein	818255	https://www.ncbi.nlm.nih.gov/gene/?term=818255
828468	AT4G23680	NA	828468	https://www.ncbi.nlm.nih.gov/gene/?term=828468
821096	SEOa	NA	821096	https://www.ncbi.nlm.nih.gov/gene/?term=821096
836525	PSAN	photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)	836525	https://www.ncbi.nlm.nih.gov/gene/?term=836525
832722	AT5G26670	NA	832722	https://www.ncbi.nlm.nih.gov/gene/?term=832722
835872	COL5	CONSTANS-like 5	835872	https://www.ncbi.nlm.nih.gov/gene/?term=835872
816578	AT2G20560	NA	816578	https://www.ncbi.nlm.nih.gov/gene/?term=816578
841000	AT1G44000	NA	841000	https://www.ncbi.nlm.nih.gov/gene/?term=841000
837576	ERD9	NA	837576	https://www.ncbi.nlm.nih.gov/gene/?term=837576
817869	NSP2	nitrile specifier protein 2	817869	https://www.ncbi.nlm.nih.gov/gene/?term=817869
837418	AMI1	amidase 1	837418	https://www.ncbi.nlm.nih.gov/gene/?term=837418
828377	ACR7	ACT domain repeat 7	828377	https://www.ncbi.nlm.nih.gov/gene/?term=828377
815413	AT2G07741	ATPase, F0 complex, subunit A protein	815413	https://www.ncbi.nlm.nih.gov/gene/?term=815413
816388	DGK3	diacylglycerol kinase 3	816388	https://www.ncbi.nlm.nih.gov/gene/?term=816388
826892	PSAL	photosystem I subunit l	826892	https://www.ncbi.nlm.nih.gov/gene/?term=826892
835515	LHCB3	light-harvesting chlorophyll B-binding protein 3	835515	https://www.ncbi.nlm.nih.gov/gene/?term=835515
826618	AT4G10265	NA	826618	https://www.ncbi.nlm.nih.gov/gene/?term=826618
829150	XTH24	xyloglucan endotransglucosylase/hydrolase 24	829150	https://www.ncbi.nlm.nih.gov/gene/?term=829150
823835	TOPP5	type one serine/threonine protein phosphatase 5	823835	https://www.ncbi.nlm.nih.gov/gene/?term=823835
832370	CaS	calcium sensing receptor	832370	https://www.ncbi.nlm.nih.gov/gene/?term=832370
839454	AT1G04660	NA	839454	https://www.ncbi.nlm.nih.gov/gene/?term=839454
815364	AT2G07687	Cytochrome c oxidase, subunit III	815364	https://www.ncbi.nlm.nih.gov/gene/?term=815364
824077	AT3G49160	pyruvate kinase family protein	824077	https://www.ncbi.nlm.nih.gov/gene/?term=824077
842016	PSAG	photosystem I subunit G	842016	https://www.ncbi.nlm.nih.gov/gene/?term=842016
2745461	AT2G07777	ATP synthase 9 mitochondrial	2745461	https://www.ncbi.nlm.nih.gov/gene/?term=2745461
830765	FLS1	flavonol synthase 1	830765	https://www.ncbi.nlm.nih.gov/gene/?term=830765
841066	AT1G45010	NA	841066	https://www.ncbi.nlm.nih.gov/gene/?term=841066
843421	MLP31	MLP-like protein 31	843421	https://www.ncbi.nlm.nih.gov/gene/?term=843421
832069	AT5G19490	NA	832069	https://www.ncbi.nlm.nih.gov/gene/?term=832069
843582	AT1G72500	inter alpha-trypsin inhibitor, heavy chain-like protein	843582	https://www.ncbi.nlm.nih.gov/gene/?term=843582
815398	AT2G07725	NA	815398	https://www.ncbi.nlm.nih.gov/gene/?term=815398
842379	MEE9	maternal effect embryo arrest 9	842379	https://www.ncbi.nlm.nih.gov/gene/?term=842379
842798	CYP89A2	cytochrome P450, family 89, subfamily A, polypeptide 2	842798	https://www.ncbi.nlm.nih.gov/gene/?term=842798
843195	AT1G68650	NA	843195	https://www.ncbi.nlm.nih.gov/gene/?term=843195
820531	AT3G13310	NA	820531	https://www.ncbi.nlm.nih.gov/gene/?term=820531
828996	PSAE-1	Photosystem I reaction centre subunit IV / PsaE protein	828996	https://www.ncbi.nlm.nih.gov/gene/?term=828996
826480	TL29	ascorbate peroxidase 4	826480	https://www.ncbi.nlm.nih.gov/gene/?term=826480
837971	AT1G14120	NA	837971	https://www.ncbi.nlm.nih.gov/gene/?term=837971
835657	KCO1	NA	835657	https://www.ncbi.nlm.nih.gov/gene/?term=835657
818005	LHB1B2	photosystem II light harvesting complex protein B1B2	818005	https://www.ncbi.nlm.nih.gov/gene/?term=818005
825320	LHCA2	photosystem I light harvesting complex protein	825320	https://www.ncbi.nlm.nih.gov/gene/?term=825320
839383	CRU2	cruciferin 2	839383	https://www.ncbi.nlm.nih.gov/gene/?term=839383
818708	AT2G41090	NA	818708	https://www.ncbi.nlm.nih.gov/gene/?term=818708
818822	AT2G42220	NA	818822	https://www.ncbi.nlm.nih.gov/gene/?term=818822
821278	AT3G01060	lysine-tRNA ligase	821278	https://www.ncbi.nlm.nih.gov/gene/?term=821278
839869	CAB3	chlorophyll A/B binding protein 3	839869	https://www.ncbi.nlm.nih.gov/gene/?term=839869
819690	AT3G05260	NA	819690	https://www.ncbi.nlm.nih.gov/gene/?term=819690
818709	TCH3	NA	818709	https://www.ncbi.nlm.nih.gov/gene/?term=818709
818093	AT2G35260	NA	818093	https://www.ncbi.nlm.nih.gov/gene/?term=818093
829043	PFK1	phosphofructokinase 1	829043	https://www.ncbi.nlm.nih.gov/gene/?term=829043
821188	AT3G02900	NA	821188	https://www.ncbi.nlm.nih.gov/gene/?term=821188
838359	BETA-TIP	beta-tonoplast intrinsic protein	838359	https://www.ncbi.nlm.nih.gov/gene/?term=838359
827599	AT4G18650	NA	827599	https://www.ncbi.nlm.nih.gov/gene/?term=827599
828353	APT3	adenine phosphoribosyl transferase 3	828353	https://www.ncbi.nlm.nih.gov/gene/?term=828353
822361	AT3G27400	NA	822361	https://www.ncbi.nlm.nih.gov/gene/?term=822361
817444	EXPA6	expansin A6	817444	https://www.ncbi.nlm.nih.gov/gene/?term=817444
820162	DML2	demeter-like 2	820162	https://www.ncbi.nlm.nih.gov/gene/?term=820162
834425	AT5G44020	NA	834425	https://www.ncbi.nlm.nih.gov/gene/?term=834425
3768663	AT2G07732	Ribulose bisphosphate carboxylase large chain, catalytic domain-containing protein	3768663	https://www.ncbi.nlm.nih.gov/gene/?term=3768663
823740	EXLA1	expansin-like A1	823740	https://www.ncbi.nlm.nih.gov/gene/?term=823740
824401	AT3G52360	NA	824401	https://www.ncbi.nlm.nih.gov/gene/?term=824401
819886	AT3G07010	NA	819886	https://www.ncbi.nlm.nih.gov/gene/?term=819886
828201	SULTR3;2	sulfate transporter 3;2	828201	https://www.ncbi.nlm.nih.gov/gene/?term=828201
825294	SDR1	NA	825294	https://www.ncbi.nlm.nih.gov/gene/?term=825294
841687	AT1G52560	NA	841687	https://www.ncbi.nlm.nih.gov/gene/?term=841687
817696	STH	salt tolerance homologue	817696	https://www.ncbi.nlm.nih.gov/gene/?term=817696
840168	AT1G32740	NA	840168	https://www.ncbi.nlm.nih.gov/gene/?term=840168
839844	AT1G29670	NA	839844	https://www.ncbi.nlm.nih.gov/gene/?term=839844
842563	AT1G62660	NA	842563	https://www.ncbi.nlm.nih.gov/gene/?term=842563
843209	AT1G68780	NA	843209	https://www.ncbi.nlm.nih.gov/gene/?term=843209
817205	KCS11	3-ketoacyl-CoA synthase 11	817205	https://www.ncbi.nlm.nih.gov/gene/?term=817205
841653	PSAH2	photosystem I subunit H2	841653	https://www.ncbi.nlm.nih.gov/gene/?term=841653
842152	AT1G57770	NA	842152	https://www.ncbi.nlm.nih.gov/gene/?term=842152
820859	PSAH-1	photosystem I subunit H-1	820859	https://www.ncbi.nlm.nih.gov/gene/?term=820859
824485	AT3G53190	NA	824485	https://www.ncbi.nlm.nih.gov/gene/?term=824485
815382	AT2G07707	Plant mitochondrial ATPase, F0 complex, subunit 8 protein	815382	https://www.ncbi.nlm.nih.gov/gene/?term=815382
824654	LHCA1	chlorophyll a-b binding protein 6	824654	https://www.ncbi.nlm.nih.gov/gene/?term=824654
842420	AT1G61260	cotton fiber (DUF761)	842420	https://www.ncbi.nlm.nih.gov/gene/?term=842420
838865	AGL87	AGAMOUS-like 87	838865	https://www.ncbi.nlm.nih.gov/gene/?term=838865
838151	LHCB6	light harvesting complex photosystem II subunit 6	838151	https://www.ncbi.nlm.nih.gov/gene/?term=838151
816831	scpl10	serine carboxypeptidase-like 10	816831	https://www.ncbi.nlm.nih.gov/gene/?term=816831
830699	AT5G08050	wiskott-aldrich syndrome family protein, putative (DUF1118)	830699	https://www.ncbi.nlm.nih.gov/gene/?term=830699
3768746	AT2G46630	NA	3768746	https://www.ncbi.nlm.nih.gov/gene/?term=3768746
820043	LHCB4.2	NA	820043	https://www.ncbi.nlm.nih.gov/gene/?term=820043
837286	KCS3	3-ketoacyl-CoA synthase 3	837286	https://www.ncbi.nlm.nih.gov/gene/?term=837286
841979	AGP21	arabinogalactan protein 21	841979	https://www.ncbi.nlm.nih.gov/gene/?term=841979
841970	AT1G55260	NA	841970	https://www.ncbi.nlm.nih.gov/gene/?term=841970
843550	AT1G72180	NA	843550	https://www.ncbi.nlm.nih.gov/gene/?term=843550
836645	AT5G65207	NA	836645	https://www.ncbi.nlm.nih.gov/gene/?term=836645
841925	AT1G54860	NA	841925	https://www.ncbi.nlm.nih.gov/gene/?term=841925
829893	BRU6	NA	829893	https://www.ncbi.nlm.nih.gov/gene/?term=829893
815372	AT2G07696	Ribosomal protein S7p/S5e family protein	815372	https://www.ncbi.nlm.nih.gov/gene/?term=815372
816164	AT2G16630	NA	816164	https://www.ncbi.nlm.nih.gov/gene/?term=816164
827773	PCAP1	plasma-membrane associated cation-binding protein 1	827773	https://www.ncbi.nlm.nih.gov/gene/?term=827773
844204	GGH2	gamma-glutamyl hydrolase 2	844204	https://www.ncbi.nlm.nih.gov/gene/?term=844204
828140	GPAT8	glycerol-3-phosphate acyltransferase 8	828140	https://www.ncbi.nlm.nih.gov/gene/?term=828140
838059	AT1G14940	NA	838059	https://www.ncbi.nlm.nih.gov/gene/?term=838059
844219	AT1G78820	NA	844219	https://www.ncbi.nlm.nih.gov/gene/?term=844219
814822	GSTF3	glutathione S-transferase F3	814822	https://www.ncbi.nlm.nih.gov/gene/?term=814822
828688	AT4G25830	NA	828688	https://www.ncbi.nlm.nih.gov/gene/?term=828688
823589	AT3G44630	NA	823589	https://www.ncbi.nlm.nih.gov/gene/?term=823589
843998	CML38	calmodulin-like 38	843998	https://www.ncbi.nlm.nih.gov/gene/?term=843998
835656	AT5G55620	NA	835656	https://www.ncbi.nlm.nih.gov/gene/?term=835656
10723075	AT1G29025	NA	10723075	https://www.ncbi.nlm.nih.gov/gene/?term=10723075
819088	UCC2	uclacyanin 2	819088	https://www.ncbi.nlm.nih.gov/gene/?term=819088
816545	PSAE-2	photosystem I subunit E-2	816545	https://www.ncbi.nlm.nih.gov/gene/?term=816545
828986	TYRDC	L-tyrosine decarboxylase	828986	https://www.ncbi.nlm.nih.gov/gene/?term=828986
832234	AT5G21100	NA	832234	https://www.ncbi.nlm.nih.gov/gene/?term=832234
815822	AGT	alanine:glyoxylate aminotransferase	815822	https://www.ncbi.nlm.nih.gov/gene/?term=815822
814696	NUDT17	nudix hydrolase homolog 17	814696	https://www.ncbi.nlm.nih.gov/gene/?term=814696
816317	HIS1-3	histone H1-3	816317	https://www.ncbi.nlm.nih.gov/gene/?term=816317
828919	UMAMIT33	NA	828919	https://www.ncbi.nlm.nih.gov/gene/?term=828919
841752	AT1G53180	NA	841752	https://www.ncbi.nlm.nih.gov/gene/?term=841752
823993	CEP3	NA	823993	https://www.ncbi.nlm.nih.gov/gene/?term=823993
825936	AT4G05631	NA	825936	https://www.ncbi.nlm.nih.gov/gene/?term=825936
820888	NSP4	nitrile specifier protein 4	820888	https://www.ncbi.nlm.nih.gov/gene/?term=820888
